"bin.id.strict"	"bin.id.united"	"bin.id.new"	"kingdom"	"phylum"	"class"	"order"	"family"	"genus"	"species"	"Confidence"	"ASVs"
"3fb8e200c4bfa59d01ef817ef4206e1a"	19	1965	"1"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Pseudonocardiales"	"Pseudonocardiaceae"	"Actinomycetospora"	NA	0.998283978	"ASV341"
"c6ece05df8ffb91d5508d60174ec221e"	20	1965	"1"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Pseudonocardiales"	"Pseudonocardiaceae"	"Actinomycetospora"	NA	0.999128634	"ASV251"
"aef35c32487fd156016a9003591ed11c"	21	1965	"1"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Pseudonocardiales"	"Pseudonocardiaceae"	"Actinomycetospora"	NA	0.995625825	"ASV488"
"b4a54722ca013cb0e6c2eacde07626d6"	22	1965	"1"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Pseudonocardiales"	"Pseudonocardiaceae"	"Pseudonocardia"	NA	0.993403349	"ASV1088"
"b1a40114832402361f99f2816faaef77"	23	1965	"1"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Pseudonocardiales"	"Pseudonocardiaceae"	"Actinophytocola"	NA	0.991748923	"ASV1198"
"18e989871df2312cab35836aa831533a"	24	1965	"1"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Pseudonocardiales"	"Pseudonocardiaceae"	"Kibdelosporangium"	NA	0.997643847	"ASV1619"
"a0673b19d4b8a5fdd7b887b09fae4339"	25	1965	"1"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Pseudonocardiales"	"Pseudonocardiaceae"	"Pseudonocardia"	NA	0.999292923	"ASV1035"
"48c1a9d0be6782acb10fb6b5a4831b23"	26	1991	"2"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Corynebacteriaceae"	"Corynebacterium"	NA	0.992875685	"ASV991"
"b80771a09eb1c715260c38da9eaa9d94"	27	1991	"2"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Corynebacteriaceae"	"Corynebacterium"	"s__Corynebacterium_marinum"	0.978558698	"ASV2788"
"c21ec777ad870c22172d7b43e058b414"	28	1991	"2"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Corynebacteriaceae"	"Corynebacterium"	NA	0.886104368	"ASV264"
"67c9457d28d5d93177db11414c2050d7"	29	1991	"2"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Corynebacteriaceae"	"Corynebacterium"	NA	0.971803719	"ASV1239"
"f8c444c9202a97bf99b73cf5aaaf7ff9"	30	1991	"2"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Corynebacteriaceae"	"Corynebacterium"	NA	0.951029517	"ASV1133"
"73095a215f08bf5687394166267cfba8"	31	1991	"2"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Corynebacteriaceae"	"Corynebacterium"	NA	0.962327254	"ASV1216"
"1dc1f4e1d0eabcafe26e816809fd4084"	32	1991	"2"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Corynebacteriaceae"	"Corynebacterium"	"s__Corynebacterium_hadale"	0.822413844	"ASV1723"
"2b919dc01180580caa3dbc331d10734c"	33	1991	"2"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Corynebacteriaceae"	"Corynebacterium"	"s__Corynebacterium_xerosis"	0.916966542	"ASV1047"
"357a5d9d5fce938a8a29df365c5ba6b2"	34	1991	"2"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Corynebacteriaceae"	"Corynebacterium"	NA	0.969732347	"ASV108"
"0c39ede6da50bbdfde1472b313d68968"	35	1991	"2"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Dietziaceae"	"Dietzia"	NA	0.999930122	"ASV1777"
"d3d1d51cfe652fc9c6bb95ea198b31e1"	36	1991	"2"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Dietziaceae"	"Dietzia"	NA	0.999918315	"ASV1828"
"2da07e359775d03cddb976e97e688a48"	37	1991	"2"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Dietziaceae"	"Dietzia"	NA	0.999965525	"ASV194"
"65c2f95d0ae3efc0a6547bd5ad325a42"	38	1991	"2"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Corynebacteriaceae"	"Corynebacterium"	NA	0.995197407	"ASV552"
"80a2f039163e804f94f6d1db4e2b3c87"	39	1991	"2"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Corynebacteriaceae"	"Corynebacterium"	NA	0.998240512	"ASV2620"
"4a64b529620d82cd32d5ed0f1c43da57"	40	1991	"2"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Corynebacteriaceae"	"Corynebacterium"	NA	0.998724054	"ASV483"
"8fbb3cf000f99bacb2c829f6f135d014"	41	1991	"2"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Corynebacteriaceae"	"Corynebacterium"	NA	0.985526378	"ASV2686"
"cbba498ead26f1b128c28f98b8effd1f"	42	1991	"2"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Corynebacteriaceae"	"Lawsonella"	"s__uncultured_bacterium"	0.982519797	"ASV313"
"171706badcc2f69e887dc9b50d834f78"	43	1991	"2"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Corynebacteriaceae"	"Corynebacterium"	"s__Corynebacterium_variabile"	0.905906142	"ASV3649"
"37848a552acf1888972c451446326d03"	44	1991	"2"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Corynebacteriaceae"	"Corynebacterium"	"s__Corynebacterium_accolens"	0.702224172	"ASV583"
"8a0132187ddb371d1cc30ddaf5171fbe"	45	1991	"2"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Corynebacteriaceae"	"Corynebacterium"	NA	0.739162005	"ASV1897"
"02d51e6bf09fb057fecae3fea6c717ca"	46	1991	"2"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Corynebacteriaceae"	"Corynebacterium"	NA	0.700716578	"ASV1531"
"d598d729298f9f16d4f45450992bf96e"	47	1991	"2"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Corynebacteriaceae"	"Corynebacterium"	"s__bacterium_AIR-NUS-08"	0.764385129	"ASV817"
"8cf4394a5f522a6009d87c62bb9abaeb"	48	2022	"3"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Nocardiaceae"	"Rhodococcus"	NA	0.935748366	"ASV1566"
"a2ee9f4fa7998e45a42f1ba0d4a6f302"	49	2022	"3"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Nocardiaceae"	"Rhodococcus"	NA	0.90933185	"ASV1037"
"9f80d90a153fda3c77aff934ddc17e58"	50	2022	"3"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Nocardiaceae"	"Rhodococcus"	NA	0.869474819	"ASV1801"
"3d83f3f9618b4de1327a34a8f5afab5e"	51	2022	"3"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Nocardiaceae"	"Rhodococcus"	NA	0.779383316	"ASV720"
"f58c2f5c508e957dcab1211d10bc02c7"	52	2022	"3"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Nocardiaceae"	"Rhodococcus"	NA	0.75731813	"ASV1172"
"1803f97340683074c32cb85e406131ae"	53	2022	"3"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Nocardiaceae"	"Rhodococcus"	NA	0.990326958	"ASV100"
"157f8562286edaef480c4384553a5303"	54	2022	"3"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Nocardiaceae"	"Gordonia"	NA	0.975978886	"ASV762"
"c02d0933911dae532b1790d675f87a8b"	55	2022	"3"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Nocardiaceae"	"Nocardia"	NA	0.999969191	"ASV2168"
"9559d2b301aeb4e6d2757be12c6bc1e1"	56	2022	"3"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Nocardiaceae"	"Nocardia"	NA	0.999856257	"ASV690"
"fc4511a49807c4d13c671738f19de999"	57	2022	"3"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Nocardiaceae"	NA	NA	0.994009799	"ASV760"
"92439f8e334beb5e374194acd0aeb708"	58	2022	"3"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Nocardiaceae"	"Rhodococcus"	NA	0.999344236	"ASV172"
"afa57fca37893aa4b7b8e74bc9366606"	59	2022	"3"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Mycobacteriaceae"	"Mycobacterium"	NA	0.999595769	"ASV884"
"a9fcca2e44be05edf9855158f649c4b0"	60	2022	"3"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Mycobacteriaceae"	"Mycobacterium"	NA	0.999414356	"ASV578"
"b59bc72b90abef1d035171e9b2b72452"	61	2022	"3"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Mycobacteriaceae"	"Mycobacterium"	NA	0.999646753	"ASV559"
"1040fa02135c5a542606016a21d98b40"	62	2022	"3"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Mycobacteriaceae"	"Mycobacterium"	NA	0.998553401	"ASV1419"
"c49ec1de8841e474cb15167101689c12"	63	2022	"3"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Mycobacteriaceae"	"Mycobacterium"	NA	0.999441703	"ASV1707"
"bb2586c6a3fabed512b1465f629ec895"	64	2022	"3"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Mycobacteriaceae"	"Mycobacterium"	NA	0.999540433	"ASV1878"
"cc4773154cb5efc7368c141099b306db"	65	2022	"3"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Mycobacteriaceae"	"Mycobacterium"	NA	0.999674691	"ASV875"
"09a48a201e1362be1e7fbc5f1baa4fbc"	66	2022	"3"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Mycobacteriaceae"	"Mycobacterium"	NA	0.999799382	"ASV1794"
"59c23ef29b2d911da6efcccd58fb84c2"	67	2022	"3"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Mycobacteriaceae"	"Mycobacterium"	NA	0.999868756	"ASV2303"
"6948cfe0897d345c72947a526ae50e22"	68	2022	"3"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Mycobacteriaceae"	"Mycobacterium"	NA	0.999715838	"ASV879"
"941cbf2a2d85e01f10156c5211f396e4"	69	2022	"3"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Mycobacteriaceae"	"Mycobacterium"	NA	0.999120924	"ASV3287"
"261908922730e71fe59446345b8d67f7"	70	2022	"3"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Mycobacteriaceae"	"Mycobacterium"	NA	0.999872506	"ASV337"
"a97e5e031cb783f618adfaa58aba963d"	71	2022	"3"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Mycobacteriaceae"	"Mycobacterium"	NA	0.999674714	"ASV2837"
"77572ce5518991db562c869903675a63"	72	2022	"3"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Mycobacteriaceae"	"Mycobacterium"	NA	0.999916783	"ASV1318"
"ae0085a5af2bdfcb683bd7e05e0dc45d"	73	2022	"3"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Mycobacteriaceae"	"Mycobacterium"	NA	0.999872108	"ASV1211"
"6c629c59cebb28e036a32d1d73a24a9c"	74	2022	"3"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Mycobacteriaceae"	"Mycobacterium"	NA	0.997270858	"ASV1104"
"cf8ed1a4732ceb269b161fa157391369"	75	2022	"3"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Mycobacteriaceae"	"Mycobacterium"	NA	0.999494641	"ASV1728"
"7839f83eeb059435a46dbce9f08447a9"	76	2022	"3"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Mycobacteriaceae"	"Mycobacterium"	NA	0.999756325	"ASV524"
"0bd6441e314384cb126d9badc5a9bad1"	77	2022	"3"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Mycobacteriaceae"	"Mycobacterium"	NA	0.999423576	"ASV354"
"b2ec4911c399cf6023c794416c3f4af5"	78	1991	"2"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Pseudonocardiales"	"Pseudonocardiaceae"	"Saccharopolyspora"	"s__Saccharopolyspora_hordei"	0.754537735	"ASV650"
"294250ee58e5bb4d6740a0362e087fb2"	79	1991	"2"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Pseudonocardiales"	"Pseudonocardiaceae"	"Saccharopolyspora"	"s__Saccharopolyspora_rectivirgula"	0.998719154	"ASV159"
"bbe613e75f3246cba9a8f7e830436f09"	80	1991	"2"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Nocardiaceae"	NA	NA	0.735649441	"ASV2861"
"c6d2e00911d5a92656f48c7f142c5f21"	81	1991	"2"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Pseudonocardiales"	"Pseudonocardiaceae"	"Saccharomonospora"	"s__Saccharomonospora_glauca"	0.925419262	"ASV252"
"95350403c043ddf9ac4d1218fc3a83df"	82	1991	"2"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Pseudonocardiales"	"Pseudonocardiaceae"	"Prauserella"	"s__Prauserella_oleivorans"	0.885110563	"ASV3347"
"853ed61ed29e572a293889f199c5b0ad"	83	1991	"2"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Pseudonocardiales"	"Pseudonocardiaceae"	"Prauserella"	"s__Prauserella_rugosa"	0.984031321	"ASV845"
"3fe64a6aab02576f3314465e8d4c2fd2"	84	1991	"2"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Pseudonocardiales"	"Pseudonocardiaceae"	"Amycolatopsis"	NA	0.995256839	"ASV1537"
"faf59085d187bebdcf6c2c1e2ff5c5e7"	85	1991	"2"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Pseudonocardiales"	"Pseudonocardiaceae"	"Amycolatopsis"	NA	0.992609247	"ASV1930"
"17fbcf4ff0b12f1b0d956b13e887200d"	86	1991	"2"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Pseudonocardiales"	"Pseudonocardiaceae"	"Amycolatopsis"	NA	0.999467143	"ASV2132"
"65e8927ae659f8a973d7c4be492b46dc"	87	1991	"2"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Pseudonocardiales"	"Pseudonocardiaceae"	"Amycolatopsis"	NA	0.999754554	"ASV901"
"c1902cbc74f72369a73716770b24c7c6"	88	1991	"2"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Pseudonocardiales"	"Pseudonocardiaceae"	"Amycolatopsis"	NA	0.99979934	"ASV1842"
"2c44a5e6dbed239c20dba59ab3baf5b2"	89	1991	"2"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Pseudonocardiales"	"Pseudonocardiaceae"	"Amycolatopsis"	NA	0.999725193	"ASV799"
"6200f6005cfffb3bd9d31cd98e57c0ed"	90	1991	"2"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Pseudonocardiales"	"Pseudonocardiaceae"	"Thermocrispum"	"s__Thermocrispum_municipale"	0.89784549	"ASV840"
"b13bf318528fb9f2e97f7828cdb90fb4"	91	2054	"4"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Streptomycetales"	"Streptomycetaceae"	"Streptomyces"	NA	0.999999094	"ASV2473"
"6f3ba4a651394333b58dc776c8e4eb0a"	92	2054	"4"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Streptomycetales"	"Streptomycetaceae"	"Streptomyces"	NA	0.999999299	"ASV1530"
"1d91dae8495aaa323a24fbf7aeb04385"	93	2054	"4"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Streptomycetales"	"Streptomycetaceae"	"Streptomyces"	NA	0.999996633	"ASV2654"
"68d2bbe5f4747ab47c9f8507a1f5628d"	94	2054	"4"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Streptomycetales"	"Streptomycetaceae"	"Streptomyces"	NA	0.999998022	"ASV2774"
"0ea8383a06d28d74a31b6b576d06e680"	95	2054	"4"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Streptomycetales"	"Streptomycetaceae"	"Streptomyces"	NA	0.997874645	"ASV124"
"1a61fea6f9389cf3031d4cf1c4684823"	96	2054	"4"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Streptomycetales"	"Streptomycetaceae"	"Streptomyces"	NA	0.999589909	"ASV1283"
"a79fe461438cb34c1377c73c03cd1bb1"	97	2054	"4"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Streptomycetales"	"Streptomycetaceae"	"Streptomyces"	NA	0.999280439	"ASV384"
"f4aaa37cf691d7a9747a005e0a8309e6"	98	2054	"4"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Streptomycetales"	"Streptomycetaceae"	"Streptomyces"	NA	0.997457682	"ASV464"
"4c8ac3960b70ffbf168e03165ddc4a4a"	99	2054	"4"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Streptomycetales"	"Streptomycetaceae"	"Streptomyces"	NA	0.999104383	"ASV115"
"c8ec11b8d3a1748d13cf709f50f20239"	100	2054	"4"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Streptomycetales"	"Streptomycetaceae"	"Streptomyces"	NA	0.999829541	"ASV2335"
"9d27022fe332798f5eeb070412233e98"	101	2054	"4"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Streptomycetales"	"Streptomycetaceae"	"Streptomyces"	NA	0.99987484	"ASV435"
"4d782a32f1e43978a73d0a4a3b4da654"	102	2054	"4"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Streptomycetales"	"Streptomycetaceae"	"Streptomyces"	NA	0.999941566	"ASV1140"
"28164976a73a1b6e9128b5259e247cb4"	103	2054	"4"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Streptomycetales"	"Streptomycetaceae"	"Streptomyces"	NA	0.999841279	"ASV694"
"a6dae0ea1b001760e9ff2aaf9b233158"	104	2054	"4"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Streptomycetales"	"Streptomycetaceae"	"Streptomyces"	NA	0.999669266	"ASV674"
"63ca1eab26a596d2b053866b649e9e9e"	105	2054	"4"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Streptomycetales"	"Streptomycetaceae"	"Streptomyces"	NA	0.99950602	"ASV451"
"64411cbc157d47fbb611abf5ec778f6c"	106	2054	"4"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Streptomycetales"	"Streptomycetaceae"	"Streptomyces"	NA	0.994410691	"ASV2219"
"10e9c8ee5f77e65e83a0297ba8586f6a"	107	2054	"4"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Streptomycetales"	"Streptomycetaceae"	"Streptomyces"	NA	0.993669703	"ASV851"
"c8e477455c2efda862e1db8c47bd600f"	108	2054	"4"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Streptomycetales"	"Streptomycetaceae"	"Streptomyces"	NA	0.98996998	"ASV532"
"8f1868830970f1b5a1570f97c3a69371"	109	2076	"5"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Streptomycetales"	"Streptomycetaceae"	"Streptomyces"	NA	0.987421431	"ASV1708"
"b8984cd40552c65c3d488dcd573f9aba"	110	2076	"5"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Streptomycetales"	"Streptomycetaceae"	"Streptomyces"	NA	0.999985338	"ASV1331"
"6133139467a13ccd74f79e312467ee32"	111	2076	"5"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Streptomycetales"	"Streptomycetaceae"	"Streptomyces"	NA	0.999997887	"ASV838"
"18fa3d4dcfb9e5850aed92236310f38e"	112	2076	"5"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Streptomycetales"	"Streptomycetaceae"	"Streptomyces"	NA	0.999992415	"ASV620"
"81c8cde3e24290c699d62e840fdcb161"	113	2076	"5"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Streptomycetales"	"Streptomycetaceae"	"Streptomyces"	NA	0.984339221	"ASV1892"
"1662ba6d74d085d2db32d7c8862f3b2a"	114	2076	"5"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Streptomycetales"	"Streptomycetaceae"	"Streptomyces"	NA	0.997413469	"ASV677"
"918e42d19fae443929267607a0906a2e"	115	2076	"5"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Streptomycetales"	"Streptomycetaceae"	"Streptomyces"	NA	0.992085993	"ASV203"
"f1ad5512c1247af478021b4b4fbd7f13"	116	2076	"5"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Streptomycetales"	"Streptomycetaceae"	"Streptomyces"	NA	0.999592963	"ASV400"
"7dad569755feaf70ee17cb9a6ec97ce1"	117	2076	"5"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Streptomycetales"	"Streptomycetaceae"	"Streptomyces"	NA	0.999502328	"ASV667"
"d4f0c64ccd4c80cbd0cabc8b48c4e5be"	118	2076	"5"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Streptomycetales"	"Streptomycetaceae"	"Streptomyces"	NA	0.999118277	"ASV382"
"22e7b74d7c4b66ed4b20b055a1161dfb"	119	2076	"5"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Streptomycetales"	"Streptomycetaceae"	"Streptomyces"	NA	0.999587719	"ASV1942"
"01d8029bad88922c4df9253cc6ecbd12"	120	2076	"5"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Streptomycetales"	"Streptomycetaceae"	"Streptomyces"	NA	0.996382427	"ASV1313"
"a97229235933ab8cf6435a2c4d6f8530"	121	2076	"5"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Streptomycetales"	"Streptomycetaceae"	"Streptomyces"	NA	0.998484669	"ASV952"
